role;idPer;idObra;
actor;10715;1656;
actor;10716;236;
actor;10718;3683;
actor;10719;1365;
actor;1071;4872;
actor;10723;1719;
actor;10726;2873;
actor;10730;2596;
actor;10733;5009;
actor;10741;1090;
actor;10741;1163;
actor;10741;1337;
actor;10741;1366;
actor;10741;1410;
actor;10741;1688;
actor;10741;1697;
actor;10741;2144;
actor;10741;2412;
actor;10741;2486;
actor;10741;2508;
actor;10741;2648;
actor;10741;2827;
actor;10741;28;
actor;10741;2987;
actor;10741;2990;
actor;10741;3004;
actor;10741;3016;
actor;10741;3140;
actor;10741;3321;
actor;10741;3336;
actor;10741;3611;
actor;10741;3721;
actor;10741;3779;
actor;10741;3902;
actor;10741;4230;
actor;10741;4828;
actor;10741;4861;
actor;10741;5168;
actor;10741;5322;
actor;10741;679;
actor;10741;875;
actor;10741;897;
actor;10747;576;
actor;10748;1531;
actor;10749;2961;
actor;1074;1473;
actor;1074;3416;
actor;1074;5106;
actor;10751;5561;
actor;10754;2996;
actor;10756;2265;
actor;10758;1393;
actor;10758;1474;
actor;10758;1552;
actor;10758;1812;
actor;10758;1994;
actor;10758;2104;
actor;10758;2270;
actor;10758;2876;
actor;10758;3333;
actor;10758;3352;
actor;10758;3361;
actor;10758;3389;
actor;10758;3610;
actor;10758;4016;
actor;10758;4296;
actor;10758;4925;
actor;10759;1561;
actor;10760;4013;
actor;10761;104;
actor;10761;2792;
actor;10764;2591;
actor;10764;4914;
actor;10766;4219;
actor;10767;2897;
actor;10767;4220;
actor;10768;470;
actor;10769;1083;
actor;10769;167;
actor;10771;1103;
actor;10771;1362;
actor;10771;2574;
actor;10771;2726;
actor;10771;3217;
actor;10771;359;
actor;10771;4833;
actor;10771;5627;
actor;10771;5653;
actor;10775;2035;
actor;10777;3777;
actor;10777;4362;
actor;10777;4369;
actor;10778;2366;
actor;10779;2366;
actor;10781;1788;
actor;10782;3639;
actor;10785;4303;
actor;10786;2497;
actor;10790;4403;
actor;10792;4800;
actor;10794;4800;
actor;10798;1429;
actor;10798;3745;
actor;10798;4117;
actor;10802;2477;
actor;10805;3952;
actor;10806;1953;
actor;10808;5142;
actor;10809;2530;
actor;10810;1171;
actor;10810;1330;
actor;10810;4102;
actor;10811;982;
actor;10812;1319;
actor;10812;677;
actor;10812;90;
actor;10813;2591;
actor;10814;2402;
actor;10814;376;
actor;1081;5655;
actor;10820;2816;
actor;10820;3274;
actor;10820;3636;
actor;10820;3640;
actor;10820;972;
actor;10823;2745;
actor;10823;4040;
actor;10823;5654;
actor;10824;2065;
actor;10826;5016;
actor;10833;1856;
actor;10834;3987;
actor;10839;1962;
actor;10842;5375;
actor;10845;3274;
actor;10847;2962;
actor;10848;3933;
actor;1084;1308;
actor;1084;4677;
actor;10851;354;
actor;10853;4937;
actor;10854;1089;
actor;10854;1116;
actor;10854;1176;
actor;10854;1328;
actor;10854;1408;
actor;10854;1655;
