series_years_ini;series_years_fin;idObra;
1983;????;4373;
1998;????;4381;
1994;????;4383;
1989;????;4385;
1979;????;4386;
1998;2002;4388;
1989;1991;4389;
1991;1993;4395;
1977;1978;4396;
1993;1996;4397;
1999;????;4405;
1975;????;4418;
1998;????;4420;
1992;1994;4421;
1982;1985;4426;
1994;????;4428;
1983;1986;4430;
1986;????;4431;
1985;1986;4436;
1999;2002;4437;
1986;????;4434;
1998;????;4440;
1984;1987;4442;
1993;????;4446;
1986;1987;4447;
1989;1991;4432;
1994;????;4449;
1999;????;4456;
1990;1991;4460;
1992;1993;4457;
1991;????;4468;
1984;????;4469;
1989;????;4470;
1977;1981;4471;
1981;1982;4474;
1995;????;4476;
1989;????;4477;
1995;????;4478;
1999;????;4480;
1987;1989;4481;
1976;????;4482;
1981;1982;4486;
1999;????;4489;
1989;????;4494;
1987;????;4495;
1995;????;4500;
1990;????;4503;
1995;????;4506;
1996;????;4507;
1996;????;4517;
1990;1996;4518;
1989;????;4519;
1991;1992;4520;
1990;????;4521;
1993;????;4522;
1984;????;4525;
1986;????;4529;
1996;1999;4531;
1993;????;4513;
1982;1983;4535;
1996;1997;4542;
1999;????;4543;
1983;1985;4545;
1985;1987;4549;
1985;1991;4551;
1985;1986;4260;
